"STATISTIC","Statistic Label","TLIST(M1)","Month","C01835V02260","Licensing Authority","C01841V02268","Type of Fuel","UNIT","VALUE"
"TEM27C01","New Private Cars","202101","2021 January","07","Kildare","2","Diesel","Number","258"
"TEM27C01","New Private Cars","202101","2021 January","07","Kildare","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","07","Kildare","4","Petrol and electric hybrid","Number","174"
"TEM27C01","New Private Cars","202101","2021 January","07","Kildare","6","Electric","Number","35"
"TEM27C01","New Private Cars","202101","2021 January","07","Kildare","7","Petrol or Diesel plug-in hybrid electric","Number","46"
"TEM27C01","New Private Cars","202101","2021 January","07","Kildare","9","Diesel and electric hybrid","Number","30"
"TEM27C01","New Private Cars","202101","2021 January","08","Kilkenny","-","All fuel types","Number","418"
"TEM27C01","New Private Cars","202101","2021 January","08","Kilkenny","1","Petrol","Number","124"
"TEM27C01","New Private Cars","202101","2021 January","08","Kilkenny","2","Diesel","Number","179"
"TEM27C01","New Private Cars","202101","2021 January","08","Kilkenny","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","08","Kilkenny","4","Petrol and electric hybrid","Number","80"
"TEM27C01","New Private Cars","202101","2021 January","08","Kilkenny","6","Electric","Number","13"
"TEM27C01","New Private Cars","202101","2021 January","08","Kilkenny","7","Petrol or Diesel plug-in hybrid electric","Number","5"
"TEM27C01","New Private Cars","202101","2021 January","08","Kilkenny","9","Diesel and electric hybrid","Number","17"
"TEM27C01","New Private Cars","202101","2021 January","09","Laois","-","All fuel types","Number","289"
"TEM27C01","New Private Cars","202101","2021 January","09","Laois","1","Petrol","Number","79"
"TEM27C01","New Private Cars","202101","2021 January","09","Laois","2","Diesel","Number","126"
"TEM27C01","New Private Cars","202101","2021 January","09","Laois","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","09","Laois","4","Petrol and electric hybrid","Number","47"
"TEM27C01","New Private Cars","202101","2021 January","09","Laois","6","Electric","Number","9"
"TEM27C01","New Private Cars","202101","2021 January","09","Laois","7","Petrol or Diesel plug-in hybrid electric","Number","15"
"TEM27C01","New Private Cars","202101","2021 January","09","Laois","9","Diesel and electric hybrid","Number","13"
"TEM27C01","New Private Cars","202101","2021 January","10","Leitrim","-","All fuel types","Number","77"
"TEM27C01","New Private Cars","202101","2021 January","10","Leitrim","1","Petrol","Number","15"
"TEM27C01","New Private Cars","202101","2021 January","10","Leitrim","2","Diesel","Number","40"
"TEM27C01","New Private Cars","202101","2021 January","10","Leitrim","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","10","Leitrim","4","Petrol and electric hybrid","Number","16"
"TEM27C01","New Private Cars","202101","2021 January","10","Leitrim","6","Electric","Number","2"
"TEM27C01","New Private Cars","202101","2021 January","10","Leitrim","7","Petrol or Diesel plug-in hybrid electric","Number","2"
"TEM27C01","New Private Cars","202101","2021 January","10","Leitrim","9","Diesel and electric hybrid","Number","2"
